#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
"AllEnglish::LEP::EP0912","bits and bobs","","","noun phrase","informal","[bɪts ənd bɒbz]","","Small things or jobs of various kinds; miscellaneous items.","I just need to pack a few bits and bobs before we leave.","We spent the weekend doing bits and bobs around the house.","My drawer is full of random bits and bobs.","C1"
"AllEnglish::LEP::EP0912","used to","","","verb phrase","Grammar","[juːzd tuː]","","Refers to a past habit or state that is no longer true.","I used to smoke, but I quit years ago.","She used to have long hair.","Did you use to play football at school?","B1"
"AllEnglish::LEP::EP0912","be used to","","","verb phrase","Grammar","[biː juːzd tuː]","","To be accustomed to something; it is not strange or new.","I am used to getting up early for work.","She isn't used to driving on the left.","Are you used to the spicy food yet?","B2"
"AllEnglish::LEP::EP0912","get used to","","","verb phrase","Grammar","[gɛt juːzd tuː]","","The process of becoming accustomed to something.","It took me a while to get used to the cold weather.","You will get used to the noise eventually.","I can't get used to this new keyboard.","B2"
"AllEnglish::LEP::EP0912","hard","","","adverb","","[hɑːrd]","","With a great deal of effort or force.","He works very hard to support his family.","Push hard on the door to open it.","It was raining hard all day.","B1"
"AllEnglish::LEP::EP0912","hardly","","","adverb","","[ˈhɑːrdli]","","Scarcely; almost not.","I hardly know him.","She hardly ever goes out these days.","I could hardly hear what he was saying.","B2"
"AllEnglish::LEP::EP0912","late","","","adverb","","[leɪt]","","After the expected or usual time.","He arrived late for the meeting.","We stayed up late talking.","Better late than never.","A2"
"AllEnglish::LEP::EP0912","lately","","","adverb","","[ˈleɪtli]","","Recently; in the recent past.","Have you seen any good movies lately?","I haven't been feeling well lately.","Lately, I've been thinking about changing jobs.","B2"
"AllEnglish::LEP::EP0912","near","","","adverb","","[nɪər]","","At or to a short distance away; close by.","Come near and listen to this.","She lives quite near to the station.","Winter is drawing near.","B1"
"AllEnglish::LEP::EP0912","nearly","","","adverb","","[ˈnɪərli]","","Very close to; almost.","I nearly missed the bus.","It's nearly midnight.","We are nearly finished with the project.","B1"
"AllEnglish::LEP::EP0912","high","","","adverb","","[haɪ]","","At or to a considerable height.","The eagle flew high in the sky.","He threw the ball high into the air.","Aim high in your career.","B1"
"AllEnglish::LEP::EP0912","highly","","","adverb","","[ˈhaɪli]","","To a high degree or level; very.","It is highly likely that it will rain.","He is a highly respected doctor.","The movie was highly recommended.","B2"
"AllEnglish::LEP::EP0912","free","","","adverb","","[friː]","","Without cost or payment.","Children can enter the museum free.","Buy one, get one free.","She let the bird fly free.","B1"
"AllEnglish::LEP::EP0912","freely","","","adverb","","[ˈfriːli]","","Without restriction or interference; willing and readily.","You can speak freely here.","Traffic was flowing freely.","He freely admitted his mistake.","C1"
"AllEnglish::LEP::EP0912","remember doing","","","verb pattern","Grammar","[rɪˈmɛmbər ˈduːɪŋ]","","To have a memory of a past action.","I remember locking the door when I left.","Do you remember meeting him last year?","I don't remember saying that.","B2"
"AllEnglish::LEP::EP0912","remember to do","","","verb pattern","Grammar","[rɪˈmɛmbər tuː duː]","","To not forget to perform a future task.","Please remember to lock the door when you leave.","I must remember to call my mum.","Did you remember to buy milk?","B2"
"AllEnglish::LEP::EP0912","forget doing","","","verb pattern","Grammar","[fərˈgɛt ˈduːɪŋ]","","To lose the memory of a past event (usually used in negative sentences).","I'll never forget seeing the Eiffel Tower for the first time.","She won't forget meeting the Queen.","Have you forgotten telling me that story?","B2"
"AllEnglish::LEP::EP0912","forget to do","","","verb pattern","Grammar","[fərˈgɛt tuː duː]","","To fail to perform a task because one did not remember.","I forgot to buy milk.","Don't forget to send the email.","He often forgets to brush his teeth.","B2"
"AllEnglish::LEP::EP0912","stop doing","","","verb pattern","Grammar","[stɒp ˈduːɪŋ]","","To cease an action or habit.","He stopped smoking last year.","Stop talking and listen!","It has stopped raining.","B1"
"AllEnglish::LEP::EP0912","stop to do","","","verb pattern","Grammar","[stɒp tuː duː]","","To pause an activity in order to do something else (purpose).","He stopped walking to check the map.","We stopped to have lunch.","She stopped to answer the phone.","B2"
"AllEnglish::LEP::EP0912","try doing","","","verb pattern","Grammar","[traɪ ˈduːɪŋ]","","To experiment with a method to see if it works.","If the computer freezes, try restarting it.","I tried taking an aspirin for the headache.","Try adding more salt to the soup.","B2"
"AllEnglish::LEP::EP0912","try to do","","","verb pattern","Grammar","[traɪ tuː duː]","","To attempt to do something that is difficult or requires effort.","I'm trying to learn Japanese.","He tried to lift the heavy box but failed.","Try to be on time tomorrow.","B2"
"AllEnglish::LEP::EP0912","regret doing","","","verb pattern","Grammar","[rɪˈgrɛt ˈduːɪŋ]","","To feel sorry about something that happened in the past.","I regret saying that to him.","She regrets not taking the job.","Do you regret buying that car?","C1"
"AllEnglish::LEP::EP0912","regret to say/tell/inform","","","verb pattern","Grammar","[rɪˈgrɛt tuː seɪ]","","Used to introduce bad news in a formal way.","We regret to inform you that your application was unsuccessful.","I regret to say that I cannot attend.","He regrets to tell you the bad news.","C1"
"AllEnglish::LEP::EP0912","go on doing","","","verb pattern","Grammar","[goʊ ɒn ˈduːɪŋ]","","To continue doing the same thing.","She went on talking for hours.","He went on working despite his illness.","Don't go on complaining.","B2"
"AllEnglish::LEP::EP0912","go on to do","","","verb pattern","Grammar","[goʊ ɒn tuː duː]","","To proceed to do something new after finishing something else.","After university, she went on to become a doctor.","He welcomed us and then went on to explain the rules.","She won the match and went on to play in the final.","C1"
"AllEnglish::LEP::EP0912","mean doing","","","verb pattern","Grammar","[miːn ˈduːɪŋ]","","To involve or entail; to have as a result.","Starting a new business means working long hours.","This means spending less money.","Buying a house means taking out a mortgage.","B2"
"AllEnglish::LEP::EP0912","mean to do","","","verb pattern","Grammar","[miːn tuː duː]","","To intend to do something.","I didn't mean to hurt your feelings.","I meant to call you, but I forgot.","She means to succeed.","B2"
"AllEnglish::LEP::EP0912","rule of thumb","","","idiom","","[ruːl ɒv θʌm]","","A broadly accurate guide or principle, based on experience or practice rather than theory.","As a rule of thumb, you should drink 8 glasses of water a day.","A good rule of thumb is to save 10% of your income.","The rule of thumb for cooking pasta is 1 liter of water per 100g.","C1"
"AllEnglish::LEP::EP0912","nuance","","","noun","","[ˈnjuːɑːns]","","A subtle difference in or shade of meaning, expression, or sound.","It is difficult to translate the nuances of the poem.","He understood the nuance of her tone.","Language learners often miss the nuances of humor.","C1"
"AllEnglish::LEP::EP0912","ambiguous","","","adjective","","[æmˈbɪgjuəs]","","(Of language) open to more than one interpretation; having a double meaning.","The sentence is ambiguous and could mean two different things.","His instructions were ambiguous.","Avoid ambiguous language in contracts.","C1"
"AllEnglish::LEP::EP0912","context","","","noun","","[ˈkɒntɛkst]","","The circumstances that form the setting for an event, statement, or idea, and in terms of which it can be fully understood and assessed.","You need to look at the sentence in context to understand the meaning.","The historical context of the novel is important.","Taken out of context, his words seemed rude.","B2"
"AllEnglish::LEP::EP0912","counter-intuitive","","","adjective","","[ˌkaʊntərɪnˈtjuːɪtɪv]","","Contrary to intuition or to common-sense expectation (but often true).","It seems counter-intuitive, but sometimes slowing down helps you finish faster.","The solution was simple but counter-intuitive.","Grammar rules can be counter-intuitive.","C2"
"AllEnglish::LEP::EP0912","schwa","","","noun","Phonology","[ʃwɑː]","","The unstressed central vowel (as in 'a' in 'about'), represented by the symbol ə.","The schwa is the most common sound in English.","Unstressed syllables often reduce to a schwa.","Pay attention to the schwa for natural pronunciation.","C1"
"AllEnglish::LEP::EP0912","glottal stop","","","noun","Phonology","[ˈglɒtəl stɒp]","","A consonant formed by the audible release of the airstream after complete closure of the glottis.","In some British accents, the 't' in 'butter' is replaced by a glottal stop.","The glottal stop is common in Cockney English.","He uses a glottal stop instead of 't'.","C2"
"AllEnglish::LEP::EP0912","homophone","","","noun","","[ˈhɒməfoʊn]","","Each of two or more words having the same pronunciation but different meanings, origins, or spelling.","'Flower' and 'flour' are homophones.","'There', 'their', and 'they're' are homophones.","English has many confusing homophones.","B2"
"AllEnglish::LEP::EP0912","minimal pair","","","noun","Phonology","[ˈmɪnɪməl pɛər]","","A pair of words that vary by only a single sound.","'Ship' and 'sheep' are a minimal pair.","'Bat' and 'pat' are minimal pairs used to test pronunciation.","Practicing minimal pairs helps improve accent.","C1"
"AllEnglish::LEP::EP0912","barely","","","adverb","","[ˈbɛərli]","","Only just; almost not.","I barely made it to the train on time.","He barely spoke a word.","The room was barely furnished.","B2"
"AllEnglish::LEP::EP0912","scarcely","","","adverb","","[ˈskɛərsli]","","Only just; almost not (similar to barely/hardly).","I could scarcely believe my eyes.","There was scarcely enough food for everyone.","Scarcely had he arrived when the phone rang.","C1"
"AllEnglish::LEP::EP0912","rough","","","adjective","","[rʌf]","","Approximate; not exact.","Can you give me a rough estimate of the cost?","It's just a rough draft.","I have a rough idea of what happened.","B2"
"AllEnglish::LEP::EP0912","roughly","","","adverb","","[ˈrʌfli]","","Approximately.","There were roughly 200 people at the party.","The journey takes roughly an hour.","Prices are roughly the same as last year.","B2"
"AllEnglish::LEP::EP0912","sharp","","","adverb","","[ʃɑːrp]","","Exactly (used with time).","The meeting starts at 9 o'clock sharp.","Be there at 8 sharp.","Please arrive sharp at noon.","B2"
"AllEnglish::LEP::EP0912","sharply","","","adverb","","[ˈʃɑːrpli]","","In a sudden or severe way; abruptly.","Prices have risen sharply.","She criticized him sharply.","Turn sharply to the left.","C1"
"AllEnglish::LEP::EP0912","flat","","","adverb","","[flæt]","","Completely; absolutely (often used with denial or refusal).","He turned me down flat.","I broke the record flat (in exactly that time).","She fell flat on her face.","C2"
"AllEnglish::LEP::EP0912","flatly","","","adverb","","[ˈflætli]","","In a way that shows no emotion or interest; absolutely (denial).","He flatly refused to help.","She denied the accusation flatly.","'I don't care,' he said flatly.","C2"
"AllEnglish::LEP::EP0912","wide","","","adverb","","[waɪd]","","To the full extent; completely.","The door was wide open.","He was wide awake.","Her eyes opened wide in surprise.","B2"
"AllEnglish::LEP::EP0912","widely","","","adverb","","[ˈwaɪdli]","","By many people; over a large area.","English is widely spoken around the world.","It is a widely held belief.","Opinions vary widely on this topic.","B2"
"AllEnglish::LEP::EP0912","deep","","","adverb","","[diːp]","","Far down or in.","They dug deep into the ground.","He went deep into the forest.","Still waters run deep.","B1"
"AllEnglish::LEP::EP0912","deeply","","","adverb","","[ˈdiːpli]","","Very much; intensely (usually emotional).","I am deeply grateful for your help.","He was deeply offended.","She sighed deeply.","B2"
"AllEnglish::LEP::EP0912","direct","","","adverb","","[dɪˈrɛkt]","","Without changing direction or stopping.","We flew direct to New York.","He went direct to the manager.","Contact me direct.","B2"
"AllEnglish::LEP::EP0912","directly","","","adverb","","[dɪˈrɛktli]","","At once; immediately; exactly.","I will deal with it directly.","He looked directly at me.","The sun shone directly into my eyes.","B2"
"AllEnglish::LEP::EP0912","short","","","adverb","","[ʃɔːrt]","","Before the natural or appointed time or limit; abruptly.","We had to cut the holiday short.","The ball fell short of the goal.","He stopped short when he saw her.","B2"
"AllEnglish::LEP::EP0912","shortly","","","adverb","","[ˈʃɔːrtli]","","In a short time; soon.","The train will arrive shortly.","I will be with you shortly.","Shortly after, he left the room.","B2"
"AllEnglish::LEP::EP0912","wrong","","","adverb","","[rɒŋ]","","Incorrectly; badly.","Everything went wrong today.","You guessed wrong.","Don't get me wrong.","A2"
"AllEnglish::LEP::EP0912","wrongly","","","adverb","","[ˈrɒŋli]","","Incorrectly; unjustly.","He was wrongly accused of the crime.","The letter was addressed wrongly.","She wrongly assumed I was angry.","B2"
"AllEnglish::LEP::EP0912","right","","","adverb","","[raɪt]","","Correctly; exactly; immediately.","I guessed right.","Do it right the first time.","I'll be right back.","A2"
"AllEnglish::LEP::EP0912","rightly","","","adverb","","[ˈraɪtli]","","Justifiably; in accordance with truth or fact.","He was rightly praised for his bravery.","As you rightly pointed out.","They rightly decided to cancel the event.","C1"
"AllEnglish::LEP::EP0912","pretty","","","adverb","","[ˈprɪti]","","To a moderately high degree; fairly.","It's pretty cold today.","I'm pretty sure he's coming.","The movie was pretty good.","B1"
"AllEnglish::LEP::EP0912","prettily","","","adverb","","[ˈprɪtɪli]","","In a pretty or attractive way.","She smiled prettily.","The room was prettily decorated.","The girl was dressed prettily.","C1"
"AllEnglish::LEP::EP0912","easy","","","adverb","","[ˈiːzi]","","Without difficulty (informal idioms).","Take it easy.","Easy come, easy go.","Go easy on him.","B1"
"AllEnglish::LEP::EP0912","easily","","","adverb","","[ˈiːzɪli]","","Without difficulty or effort.","I passed the exam easily.","He is easily the best player.","She gets tired easily.","B1"
